skladba,avtor
500,Berry Gordy
500,Smokey Robinson
499,Rivers Cuomo
498,Mick Jagger
498,Keith Richards
497,Bruce Springsteen
496,Jackson Browne
495,Mick Jagger
495,Keith Richards
494,R. Kelly
493,Ben Goldwasser
493,Andrew VanWyngarden
492,Dino Fekaris
492,Freddie Perren
491,Jake Hooker
491,Alan Merrill
490,Coldplay
489,Arthur Resnick
489,Kenny Young
488,Robert Smith
488,Simon Gallup
488,Porl Thompson
488,Lol Tolhurst
488,Boris Williams
487,Michael Bruce
487,Glen Buxton
487,Alice Cooper
487,Dennis Dunway
487,Neal Smith
486,David Bowie
485,Bob Crewe
485,Kenny Nolan
484,Timbaland
484,Scott Storch
484,Justin Timberlake
483,Grace Slick
482,Dr. Luke
482,Max Martin
481,Rick James
481,Alonzo Miller
480,Beastie Boys
479,Mick Jones
478,Julian Casablancas
477,Johnny Marr
477,Morrissey
476,Chips Moman
476,Dan Penn
475,Brian Holland
475,Lamont Dozier
475,Eddie Holland
474,Van Morrison
473,Guns n' Roses
472,Del Shannon
472,Max Crook
471,Rick Nielsen
470,Brian Holland
470,Lamont Dozier
470,Eddie Holland
469,John Lennon
469,Paul McCartney
468,Luther Ingram
468,Mack Rice
467,Jay-Z
467,Bun B
467,Pimp C
467,Timbaland
467,Kyambo Joshua
466,Missy Elliott
466,Timbaland
465,McKinley Morganfield
464,Prince and the Revolution
463,Isaac Hayes
463,David Porter
462,Kurt Cobain
461,Ramones
460,George Harrison
459,Guns n' Roses
458,Sam Cooke
457,Hank Ballard
456,John Lennon
456,Paul McCartney
455,Lou Reed
454,"George ""Shadow"" Morton"
454,Jeff Barry
454,Ellie Greenwich
453,Toots Hibbert
452,Kurt Cobain
452,Nirvana
451,Sonny Bono
450,Bob Marley
449,Clarence E. Quick
448,50 Cent
448,Dr. Dre
448,Mike Elizondo
447,John Cougar Mellencamp
446,"Hurby ""Luv Bug"" Azor"
445,Dave Alexander
445,Ron Asheton
445,Scott Asheton
445,Iggy Pop
444,Elvis Presley
444,Vera Watson
443,Mick Jagger
443,Keith Richards
442,Bryan MacLean
441,Sir Mack Rice
440,Jimmy Page
440,Robert Plant
439,Jim Weatherly
438,Dave Bartholomew
438,Fats Domino
437,Mick Jones
437,Joe Strummer
436,Solomon Burke
436,Bert Berns
436, Jerry Wexler
435,Bono
435,the Edge
435,Adam Clayton
435,Larry Mullen Jr.
434,Ritchie Blackmore
434,Ian Gillian
434,Roger Glover
434,Jon Lord
434,Ian Paice
433,Mick Jagger
433,Keith Richards
432,Green Day
431,Johnny Marr
431,Morrissey
430,Carl Perkins
429,Billy Joel
428,Rudolph Isley
428,Ronald lsley
428,O'Kelly Isley
427,Snoop Dogg
426,Stephen Stills
425,Ice Cube
425,MC Ren
424,The Notorious B.I.G.
423,Don Henley
423,Mike Campbell
422,Eddie Holland
422,Lamont Dozier
422,Brian Holland
421,Jerry Leiber
421,Mike Stoller
421,Doc Pomus
420,Bobby Troup
419,Bobbie Gentry
418,Donna Summer
418,Giorgio Moroder
418,Pete Bellotte
417,Black Francis
416,Steven Tyler
416,Tom Hamilton
415,Kurt Cobain
414,Paul Williams
414,Roger Nichols
413,Bob Dylan
412,The-Dream
412,Kuk Harrell
412,Jay-Z
412,"Christopher ""Tricky"" Stewart"
411,Eddie Cochran
411,Jerry Capehart
410,Sly Stone
409,Luther Dixon
409,Shirley Owens
408,James Hetfield
408,Lars Ulrich
408,Kirk Hammett
407,Ed King
407,Gary Rossington
407,Ronnie Van Zant
406,Alex Chilton
406,Chris Bell
405,Donald Roeser
404,"George ""Shadow"" Morton"
403,George Weiss
403,Hugo Peretti
403,Luigi Creatore
402,Stan Vincent
401,John Sebastian
401,Steve Boone
401,Mark Sebastian
400,Brian Holland
400,Lamont Dozier
400,Eddie Holland
399,Norman Whitfield
399,Barrett Strong
398,Sting
397,Elton John
397,Bernie Taupin
396,Eric B. and Rakim
395,Neil Young
394,John Lennon
394,Paul McCartney
393,Gregg Allman
392,Mick Jagger
392,Keith Richards
392,Richard Ashcroft
391,George Davis
391,Lee Diamond
390,Elton John
390,Bernie Taupin
389,R.E.M.
388,Bono
388,the Edge
388,Adam Clayton
