skladba,producent
500,Berry Gordy
499,Ric Ocasek
498,The Glimmer Twins
497,Brendan O'Brien
496,Jackson Browne
495,Jimmy Miller
494,R. Kelly
493,Dave Fridmann
492,Dino Fekaris
492,Freddie Perren
491,Ritchie Cordell
491,Kenny Laguna
490,Ken Nelson
490,Mark Phythian
489,Bert Berns
488,David Allen
488,Robert Smith
487,Bob Erzin
487,Jack Richardson
486,Tony Visconti
485,Allen Toussaint
484,Timbaland
483,Rick Jarrard
482,Dr. Luke
482,Max Martin
481,Rick James
480,Beastie Boys
480,Mario Caldato Jr.
479,Mick Jones
479,Alex Sadkin
478,Gordon Raphael
477,John Porter
476,Jerry Wexler
475,Brian Holland
475,Lamont Dozier
474,Van Morrison
473,Mike Clink
472,Harry Balk
472,Irving Micahnik
471,Tom Werman
470,Brian Holland
470,Lamont Dozier
469,George Martin
468,Al Bell
467,Timbaland
466,Timbaland
465,Leonard and Phil Chess
464,Prince and the Revolution
463,Isaac Hayes
463,David Porter
462,Steve Albini
461,Tony Bongiovi
461,T. Erdelyi
460,George Harrison
460,Phil Spector
459,Mike Clink
458,Sam Cooke
458,Hugo and Luigi
457,Karl Mann
456,George Martin
455,Andy Warhol
455,Tom Wilson
454,George 'Shadow' Morton
454,Jeff Barry
454,Ellie Greenwich
453,Leslie Kong
452,Butch Vig
452,Nirvana
451,Sonny Bono
450,Chris Blackwell
449,Joe Averbach
448,Dr. Dre
448,Elizondo
447,Little Bastard
447,Don Gehman
446,Azor
445,John Cale
444,Steve Sholes
443,The Glimmer Twins
442,Arthur Lee
442,Bruce Botnick
441,Jerry Wexler
440,Page
439,Tony Camillo
438,Bartholomew
437,The Clash
436,Berns
435,Steve Lillywhite
434,Deep Purple
433,Jimmy Miller
432,Rob Cavallo
432,Green Day
431,John Porter
430,Steve Sholes
429,Michael Stewart
428,R. Isley
428,R. Isley
428,O. Isley
427,Dr. Dre
426,David Crosby
426,Stephen Stills
426,Graham Nash
425,Dr. Dre
425,Yella
424,"Sean ""Puffy"" Combs"
424,Poke
423,Don Henley
423,Campbell
423,Danny Kortchmar
423,Greg Ladanyi
422,Holland
422,Lamont Dozier
422,Holland
421,Leiber
421,Stoller
420,"Robert ""Bumps"" Blackwell"
419,Kelly Gordon
419,Bobby Paris
418,Moroder
418,Bellotte
417,Gil Norton
416,Jack Douglas
