mesto,avtor,naslov,producent,leto,zalozba,album
500,Smokey Robinson and the Miracles,Shop Around,Gordy,60,Tamla <br />16 weeks; No. 2,The Ultimate Collection
499,Weezer,Buddy Holly,Ric Ocasek,94,DGC <br />21 weeks; No. 18,Weezer
498,The Rolling Stones,Miss You,The Glimmer Twins,78,Rolling Stones <br />20 weeks; No. 1,"""/music/music-album-reviews/some-girls-197022/""  rel=""nofollow""  target=""_blank""  >Some Girls"
497,Bruce Springsteen,The Rising,Brendan O'Brien,02,Columbia <br />11 weeks; No. 52,"""/music/music-album-reviews/the-rising-248610/""  rel=""nofollow""  target=""_blank""  >The Rising"
496,Jackson Browne,Running on Empty,Browne,77,Asylum <br />17 weeks; No. 11,Running on Empty
495,The Rolling Stones,Brown Sugar,Jimmy Miller,71,Rolling Stones <br />12 weeks; No. 1,"""/music/music-album-reviews/sticky-fingers-107725/""  rel=""nofollow""  target=""_blank""  >Sticky Fingers"
494,R. Kelly,Ignition (Remix),Kelly,02,Jive <br />42 weeks; No. 2,Chocolate Factory
493,MGMT,Time to Pretend,Dave Fridmann,08,Columbia <br />Did Not Chart,"""/music/music-album-reviews/oracular-spectacular-255751/""  rel=""nofollow""  target=""_blank""  >Oracular Spectacular"
492,Gloria Gaynor,I Will Survive,"Fekaris, Perren",78,Polydor <br />27 weeks; No. 1,I Will Survive: The Anthology
491,Joan Jett and the Blackhearts,I Love Rock 'N Roll,"Ritchie Cordell, Kenny Laguna",82,Boardwalk <br />20 weeks; No. 1,I Love Rock &apos;N Roll
490,Coldplay,Clocks,"Ken Nelson, Mark Phythian",02,Capitol <br />22 weeks; No. 29,"""/music/music-album-reviews/a-rush-of-blood-to-the-head-248215/""  rel=""nofollow""  target=""_blank""  >A Rush of Blood to the Head"
489,The Drifters,Under the Boardwalk,Bert Berns,64,Atlantic <br />33 weeks; No. 4,The Very Best of the Drifters
488,The Cure,Just Like Heaven,"David Allen, Smith",87,Elektra   <br />19 weeks; No. 40,"""/music/music-album-reviews/kiss-me-kiss-me-kiss-me-193155/""  rel=""nofollow""  target=""_blank""  >Kiss Me, Kiss Me, Kiss Me"
487,Alice Cooper,I'm Eighteen,"Bob Erzin, Jack Richardson",71,Warner Bros. <br />13 weeks; No. 21,"""/music/music-album-reviews/love-it-to-death-248222/""  rel=""nofollow""  target=""_blank""  >Love It to Death"
486,David Bowie,Young Americans,Tony Visconti,75,RCA <br />11 weeks; No. 28,"""/music/music-album-reviews/young-americans-2-102458/""  rel=""nofollow""  target=""_blank""  >Young Americans"
485,LaBelle,Lady Marmalade,Allen Toussaint,75,Epic <br />18 weeks; No. 1,"""/music/music-album-reviews/nightbirds-249209/""  rel=""nofollow""  target=""_blank""  >Nightbirds"
484,Justin Timberlake,Cry Me a River,Timbaland,02,Jive <br />20 weeks; No. 3,"""/music/music-album-reviews/justified-184824/""  rel=""nofollow""  target=""_blank""  >Justified"
483,Jefferson Airplane,White Rabbit,Rick Jarrard,67,RCA <br />10 weeks; No. 8,Surrealistic Pillow
482,Kelly Clarkson,Since U Been Gone,"Dr. Luke, Martin",04,RCA <br />46 weeks; No. 2,Breakaway
481,Rick James,Super Freak,James,81,Gordy <br />24 weeks; No. 16,Street Songs
480,Beastie Boys,Sabotage,"Beastie Boys, Mario Caldato Jr.",94,Grand Royal <br />Did Not Chart,Ill Communication
479,Foreigner,I Want to Know What Love Is,"Jones, Alex Sadkin",84,Atlantic <br />21 weeks; No. 1,Agent Provocateur
